                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    109,                 1.2569,                 1.3308,                 1.5062,                0.45949,                0.66223,                0.49765,                0.26622,                 1.5512,                 1.6266,                 2.0261,              0.0078616,              0.0078616,              0.0078616
                    110,                 1.2087,                 1.3471,                 1.4626,                0.42164,                0.65029,                0.50395,                0.29607,                 1.4582,                  1.669,                 1.9293,              0.0078418,              0.0078418,              0.0078418
                    111,                 1.2201,                 1.3184,                 1.4753,                0.51981,                0.58775,                0.49817,                0.26571,                 1.4094,                 1.7287,                 1.8486,               0.007822,               0.007822,               0.007822
                    112,                 1.2253,                 1.3346,                 1.4924,                0.51029,                0.63294,                0.52728,                0.27576,                 1.4934,                 1.7187,                 1.9312,              0.0078022,              0.0078022,              0.0078022
                    113,                 1.1892,                 1.3062,                 1.4614,                0.51028,                0.59031,                0.55851,                0.28665,                 1.5132,                 1.5502,                 1.9761,              0.0077824,              0.0077824,              0.0077824
                    114,                  1.184,                 1.3382,                 1.4687,                 0.6414,                0.66353,                0.66283,                0.35123,                 1.4792,                 1.3182,                   1.94,              0.0077626,              0.0077626,              0.0077626
                    115,                  1.213,                 1.2668,                  1.494,                0.65925,                0.62471,                0.64543,                0.32014,                 1.5473,                 1.3929,                 2.0349,              0.0077428,              0.0077428,              0.0077428
                    116,                 1.1889,                 1.3418,                 1.4821,                  0.614,                 0.5896,                0.61553,                 0.3245,                 1.6943,                 1.5008,                 2.1502,               0.007723,               0.007723,               0.007723
                    117,                 1.1667,                 1.2939,                 1.4657,                0.70236,                0.45647,                0.53981,                0.27706,                 1.7778,                 1.8447,                 2.2173,              0.0077032,              0.0077032,              0.0077032
                    118,                 1.1768,                 1.3042,                 1.4756,                0.54987,                0.42706,                0.52273,                0.29334,                 1.5778,                 1.6624,                 2.0533,              0.0076834,              0.0076834,              0.0076834
                    119,                 1.1862,                 1.3169,                 1.4915,                0.62769,                0.40824,                0.50078,                0.26729,                  1.693,                 2.0009,                 2.1046,              0.0076636,              0.0076636,              0.0076636
                    120,                 1.1993,                  1.313,                 1.4925,                0.45535,                0.60994,                0.52287,                  0.277,                 1.6297,                 1.8726,                 2.0962,              0.0076438,              0.0076438,              0.0076438
                    121,                 1.2067,                 1.3109,                 1.4951,                0.54329,                0.43917,                 0.4612,                0.25387,                 1.6326,                 1.7381,                 2.0557,               0.007624,               0.007624,               0.007624
                    122,                 1.1573,                 1.2764,                 1.4784,                0.32507,                0.57647,                0.39228,                0.20105,                 1.7205,                 1.8735,                 2.1639,              0.0076042,              0.0076042,              0.0076042
                    123,                 1.1802,                 1.2459,                 1.4495,                0.42124,                0.62471,                 0.4496,                0.22366,                 1.6196,                 1.7621,                 2.0989,              0.0075844,              0.0075844,              0.0075844
                    124,                 1.2221,                 1.3334,                 1.5042,                0.51298,                0.66453,                 0.5202,                0.25855,                 1.6201,                 1.5382,                 2.0537,              0.0075646,              0.0075646,              0.0075646
                    125,                 1.2456,                 1.3169,                 1.5119,                0.44042,                  0.663,                0.57528,                0.30498,                 1.5235,                 1.6649,                 2.0034,              0.0075448,              0.0075448,              0.0075448
                    126,                 1.1939,                 1.3155,                  1.503,                 0.3476,                0.63618,                0.51747,                0.27539,                 1.5646,                 1.7357,                 2.0141,               0.007525,               0.007525,               0.007525
                    127,                 1.1883,                 1.2772,                 1.4585,                0.44389,                0.63529,                0.54503,                0.28974,                 1.4734,                 1.5543,                 1.9163,              0.0075052,              0.0075052,              0.0075052
                    128,                 1.1553,                  1.237,                 1.4562,                0.45917,                 0.6256,                0.50952,                0.27976,                  1.452,                   1.61,                 1.9388,              0.0074854,              0.0074854,              0.0074854
                    129,                 1.1532,                 1.2483,                 1.4537,                0.48719,                0.60588,                0.52346,                0.29812,                 1.4765,                  1.633,                 2.0193,              0.0074656,              0.0074656,              0.0074656
                    130,                 1.1847,                 1.2687,                 1.4675,                0.47966,                0.65456,                0.53442,                 0.3085,                 1.4479,                  1.553,                 1.9462,              0.0074458,              0.0074458,              0.0074458
                    131,                 1.1333,                 1.2319,                 1.4355,                0.39437,                0.64235,                 0.4411,                0.25934,                 1.3538,                 1.9033,                 1.8409,               0.007426,               0.007426,               0.007426
                    132,                 1.1319,                 1.1801,                 1.4163,                0.69453,                0.47412,                0.52986,                0.30786,                 1.3415,                 1.8219,                 1.8256,              0.0074062,              0.0074062,              0.0074062
                    133,                 1.1307,                 1.1341,                 1.4202,                0.61225,                0.60551,                0.55003,                0.27776,                 1.6264,                 1.7506,                 2.0177,              0.0073864,              0.0073864,              0.0073864
                    134,                 1.1423,                 1.1584,                 1.4127,                0.51144,                0.54471,                0.51715,                0.26448,                  1.586,                 1.8337,                  2.031,              0.0073666,              0.0073666,              0.0073666
                    135,                  1.156,                 1.2183,                 1.4396,                 0.4606,                0.53158,                0.51024,                 0.2778,                 1.6312,                 1.6631,                 2.0691,              0.0073468,              0.0073468,              0.0073468
                    136,                 1.1284,                 1.2027,                 1.4217,                 0.5781,                0.56566,                0.51277,                0.28645,                 1.4891,                 1.8699,                 1.9695,               0.007327,               0.007327,               0.007327
                    137,                 1.1362,                 1.2287,                 1.4246,                0.54382,                0.61529,                0.50602,                 0.2984,                 1.4295,                 1.7497,                 1.9112,              0.0073072,              0.0073072,              0.0073072
                    138,                 1.1296,                 1.1849,                 1.4012,                0.47419,                0.61529,                0.54516,                0.31702,                 1.3703,                 1.7501,                 1.8387,              0.0072874,              0.0072874,              0.0072874
                    139,                 1.1344,                 1.1678,                 1.4302,                0.45926,                0.58473,                0.51995,                0.26516,                 1.5956,                 1.8482,                 2.0279,              0.0072676,              0.0072676,              0.0072676
                    140,                 1.1032,                 1.1643,                 1.3898,                0.56964,                0.59849,                0.54252,                0.29225,                 1.6332,                 1.7046,                   2.04,              0.0072478,              0.0072478,              0.0072478
                    141,                 1.1299,                 1.1746,                 1.4251,                0.49321,                0.60259,                0.57098,                0.35462,                 1.5313,                 1.5873,                 1.9649,               0.007228,               0.007228,               0.007228
                    142,                 1.1435,                 1.1728,                 1.4346,                0.53417,                0.51242,                 0.5455,                0.31201,                 1.5144,                 1.6977,                 1.9594,              0.0072082,              0.0072082,              0.0072082
                    143,                 1.0723,                 1.1237,                 1.3888,                0.56852,                0.56638,                0.57568,                0.33949,                 1.5054,                 1.6034,                 1.9095,              0.0071884,              0.0071884,              0.0071884
                    144,                  1.102,                 1.1537,                 1.4141,                0.48789,                0.67412,                0.58867,                  0.352,                 1.3751,                 1.5096,                 1.8063,              0.0071686,              0.0071686,              0.0071686
                    145,                 1.1356,                 1.1492,                 1.3983,                0.57768,                0.50588,                0.57359,                0.35447,                  1.404,                 1.5969,                 1.8684,              0.0071488,              0.0071488,              0.0071488
                    146,                 1.1173,                 1.1386,                 1.4053,                0.48197,                0.61633,                0.51234,                0.29207,                 1.6029,                 1.8319,                 2.0928,               0.007129,               0.007129,               0.007129
                    147,                 1.1702,                 1.2116,                 1.4787,                 0.4944,                 0.5855,                 0.4997,                0.30808,                 1.6071,                 1.9047,                 2.1225,              0.0071092,              0.0071092,              0.0071092
